,gebiet,status,zeitstempel
0,/arosa-lenzerheide/,failed,2018-11-16_11-43
1,/pizmundaun/,failed,2018-11-16_11-43
2,/st-moritz-corviglia/,failed,2018-11-16_11-43
3,/aletsch-arena/,failed,2018-11-16_11-43
4,/belalp/,failed,2018-11-16_11-43
5,/crans-montana/,failed,2018-11-16_11-43
6,/morgins/,failed,2018-11-16_11-43
7,/portes-du-soleil/,failed,2018-11-16_11-43
8,/valdilliez-lescrosets-champoussin/,failed,2018-11-16_11-43
9,/verbier/,failed,2018-11-16_11-43
10,/vercorin/,failed,2018-11-16_11-43
11,/adelboden/,failed,2018-11-16_11-43
12,/gstaad/,failed,2018-11-16_11-43
13,/gstaad-saanen-rougemont/,failed,2018-11-16_11-43
14,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-16_11-43
15,/jungfrau-grindelwald-wengen/,failed,2018-11-16_11-43
16,/lenk/,failed,2018-11-16_11-43
17,/meiringen-hasliberg/,failed,2018-11-16_11-43
18,/pizol/,failed,2018-11-16_11-43
19,/fribourg-region/,failed,2018-11-16_11-43
20,/les-paccots-chatel-saint-denis/,failed,2018-11-16_11-43
21,/espace-dole-les-tuffes/,failed,2018-11-16_11-43
22,/les-diablerets/,failed,2018-11-16_11-43
23,/diablerets/,failed,2018-11-16_11-43
24,/villars/,failed,2018-11-16_11-43
