,offen,titel,totallifte,zeit_scraping,zeit_siteaktualisiert
0,0,Andermatt - Oberalp - Sedrun,22,2018-11-13_14-00,"11.11.2018, 15:49"
1,0,Corvatsch - Furtschellas,14,2018-11-13_14-00,"07.11.2018, 13:33"
2,0,Davos Jakobshorn,10,2018-11-13_14-00,"13.11.2018, 05:00"
3,0,Davos Klosters Parsenn,18,2018-11-13_14-00,"13.11.2018, 05:00"
4,0,Flims Laax Falera,28,2018-11-13_14-00,"11.11.2018, 16:40"
5,0,Samnaun,45,2018-11-13_14-00,"13.11.2018, 12:07"
6,0,Scuol Motta Naluns,13,2018-11-13_14-00,"12.11.2018, 17:39"
7,0,St. Moritz - Corviglia,23,2018-11-13_14-00,"31.10.2018, 13:33"
8,0,Anzère,12,2018-11-13_14-00,"13.11.2018, 04:01"
9,0,Champéry / Portes du Soleil,197,2018-11-13_14-00,"13.11.2018, 04:03"
10,0,Grächen,9,2018-11-13_14-00,"13.11.2018, 04:01"
11,0,Grimentz - Zinal,21,2018-11-13_14-00,"13.11.2018, 04:00"
12,0,Nendaz / 4 Vallées,82,2018-11-13_14-00,"13.11.2018, 04:03"
13,5,Saas-Fee,22,2018-11-13_14-00,"13.11.2018, 07:54"
14,0,St-Luc / Chandolin,15,2018-11-13_14-00,"13.11.2018, 04:03"
15,0,Thyon / 4 Vallées,82,2018-11-13_14-00,"13.11.2018, 13:15"
16,0,Veysonnaz / 4 Vallées,82,2018-11-13_14-00,"13.11.2018, 05:45"
17,19,Zermatt,52,2018-11-13_14-00,"13.11.2018, 11:08"
18,11,Jungfrau Ski Region Mürren - Schilthorn,15,2018-11-13_14-00,"13.11.2018, 13:11"
19,0,Andermatt - Gemsstock,22,2018-11-13_14-00,"11.11.2018, 15:49"
20,4,Engelberg Titlis,28,2018-11-13_14-00,"13.11.2018, 07:04"
21,0,Hoch-Ybrig,12,2018-11-13_14-00,"13.11.2018, 04:00"
22,0,Klewenalp - Stockhütte,13,2018-11-13_14-00,"13.11.2018, 04:00"
23,0,Melchsee - Frutt,14,2018-11-13_14-00,"13.11.2018, 04:03"
24,3,Mythenregion,15,2018-11-13_14-00,"03.11.2018, 11:30"
25,0,Sörenberg,16,2018-11-13_14-00,"08.11.2018, 09:14"
26,0,Flumserberg,17,2018-11-13_14-00,"13.11.2018, 04:01"
27,0,Toggenburg,17,2018-11-13_14-00,"13.11.2018, 04:02"
28,0,Leysin - Les Mosses - La Lécherette,14,2018-11-13_14-00,"13.11.2018, 04:01"
