,gebiet,status,zeitstempel
0,/pizmundaun/,failed,2018-11-05_10-00
1,/aletsch-arena/,failed,2018-11-05_10-00
2,/crans-montana/,failed,2018-11-05_10-00
3,/portes-du-soleil/,failed,2018-11-05_10-00
4,/valdilliez-lescrosets-champoussin/,failed,2018-11-05_10-00
5,/adelboden/,failed,2018-11-05_10-00
6,/gstaad/,failed,2018-11-05_10-00
7,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-05_10-00
8,/jungfrau-grindelwald-wengen/,failed,2018-11-05_10-00
9,/meiringen-hasliberg/,failed,2018-11-05_10-00
10,/fribourg-region/,failed,2018-11-05_10-00
11,/les-paccots-chatel-saint-denis/,failed,2018-11-05_10-00
12,/espace-dole-les-tuffes/,failed,2018-11-05_10-00
13,/les-diablerets/,failed,2018-11-05_10-00
14,/diablerets/,failed,2018-11-05_10-00
15,/vallee-de-joux/,failed,2018-11-05_10-00
16,/villars/,failed,2018-11-05_10-00
