,gebiet,status,zeitstempel
0,/pizmundaun/,failed,2018-11-07_10-30
1,/aletsch-arena/,failed,2018-11-07_10-30
2,/belalp/,failed,2018-11-07_10-30
3,/crans-montana/,failed,2018-11-07_10-30
4,/portes-du-soleil/,failed,2018-11-07_10-30
5,/valdilliez-lescrosets-champoussin/,failed,2018-11-07_10-30
6,/vercorin/,failed,2018-11-07_10-30
7,/adelboden/,failed,2018-11-07_10-30
8,/gstaad/,failed,2018-11-07_10-30
9,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-07_10-30
10,/jungfrau-grindelwald-wengen/,failed,2018-11-07_10-30
11,/lenk/,failed,2018-11-07_10-30
12,/meiringen-hasliberg/,failed,2018-11-07_10-30
13,/soerenberg/,failed,2018-11-07_10-30
14,/pizol/,failed,2018-11-07_10-30
15,/fribourg-region/,failed,2018-11-07_10-30
16,/les-paccots-chatel-saint-denis/,failed,2018-11-07_10-30
17,/espace-dole-les-tuffes/,failed,2018-11-07_10-30
18,/les-diablerets/,failed,2018-11-07_10-30
19,/diablerets/,failed,2018-11-07_10-30
20,/vallee-de-joux/,failed,2018-11-07_10-30
21,/villars/,failed,2018-11-07_10-30
