,gebiet,status,zeitstempel
0,/arosa-lenzerheide/,failed,2018-11-16_11-41
1,/pizmundaun/,failed,2018-11-16_11-41
2,/st-moritz-corviglia/,failed,2018-11-16_11-41
3,/aletsch-arena/,failed,2018-11-16_11-41
4,/belalp/,failed,2018-11-16_11-41
5,/crans-montana/,failed,2018-11-16_11-41
6,/morgins/,failed,2018-11-16_11-41
7,/portes-du-soleil/,failed,2018-11-16_11-41
8,/valdilliez-lescrosets-champoussin/,failed,2018-11-16_11-41
9,/verbier/,failed,2018-11-16_11-41
10,/vercorin/,failed,2018-11-16_11-41
11,/adelboden/,failed,2018-11-16_11-41
12,/gstaad/,failed,2018-11-16_11-41
13,/gstaad-saanen-rougemont/,failed,2018-11-16_11-41
14,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-16_11-41
15,/jungfrau-grindelwald-wengen/,failed,2018-11-16_11-41
16,/lenk/,failed,2018-11-16_11-41
17,/meiringen-hasliberg/,failed,2018-11-16_11-41
18,/pizol/,failed,2018-11-16_11-41
19,/fribourg-region/,failed,2018-11-16_11-41
20,/les-paccots-chatel-saint-denis/,failed,2018-11-16_11-41
21,/espace-dole-les-tuffes/,failed,2018-11-16_11-41
22,/les-diablerets/,failed,2018-11-16_11-41
23,/diablerets/,failed,2018-11-16_11-41
24,/villars/,failed,2018-11-16_11-41
