,gebiet,status,zeitstempel
0,/arosa-lenzerheide/,failed,2018-11-13_14-00
1,/pizmundaun/,failed,2018-11-13_14-00
2,/aletsch-arena/,failed,2018-11-13_14-00
3,/belalp/,failed,2018-11-13_14-00
4,/crans-montana/,failed,2018-11-13_14-00
5,/morgins/,failed,2018-11-13_14-00
6,/portes-du-soleil/,failed,2018-11-13_14-00
7,/valdilliez-lescrosets-champoussin/,failed,2018-11-13_14-00
8,/verbier/,failed,2018-11-13_14-00
9,/vercorin/,failed,2018-11-13_14-00
10,/adelboden/,failed,2018-11-13_14-00
11,/gstaad/,failed,2018-11-13_14-00
12,/gstaad-saanen-rougemont/,failed,2018-11-13_14-00
13,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-13_14-00
14,/jungfrau-grindelwald-wengen/,failed,2018-11-13_14-00
15,/lenk/,failed,2018-11-13_14-00
16,/meiringen-hasliberg/,failed,2018-11-13_14-00
17,/pizol/,failed,2018-11-13_14-00
18,/fribourg-region/,failed,2018-11-13_14-00
19,/les-paccots-chatel-saint-denis/,failed,2018-11-13_14-00
20,/espace-dole-les-tuffes/,failed,2018-11-13_14-00
21,/les-diablerets/,failed,2018-11-13_14-00
22,/diablerets/,failed,2018-11-13_14-00
23,/vallee-de-joux/,failed,2018-11-13_14-00
24,/villars/,failed,2018-11-13_14-00
