,gebiet,status,zeitstempel
0,/pizmundaun/,failed,2018-11-08_10-30
1,/aletsch-arena/,failed,2018-11-08_10-30
2,/belalp/,failed,2018-11-08_10-30
3,/crans-montana/,failed,2018-11-08_10-30
4,/portes-du-soleil/,failed,2018-11-08_10-30
5,/valdilliez-lescrosets-champoussin/,failed,2018-11-08_10-30
6,/verbier/,failed,2018-11-08_10-30
7,/vercorin/,failed,2018-11-08_10-30
8,/adelboden/,failed,2018-11-08_10-30
9,/gstaad/,failed,2018-11-08_10-30
10,/gstaad-saanen-rougemont/,failed,2018-11-08_10-30
11,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-08_10-30
12,/jungfrau-grindelwald-wengen/,failed,2018-11-08_10-30
13,/lenk/,failed,2018-11-08_10-30
14,/meiringen-hasliberg/,failed,2018-11-08_10-30
15,/pizol/,failed,2018-11-08_10-30
16,/fribourg-region/,failed,2018-11-08_10-30
17,/les-paccots-chatel-saint-denis/,failed,2018-11-08_10-30
18,/espace-dole-les-tuffes/,failed,2018-11-08_10-30
19,/les-diablerets/,failed,2018-11-08_10-30
20,/diablerets/,failed,2018-11-08_10-30
21,/vallee-de-joux/,failed,2018-11-08_10-30
22,/villars/,failed,2018-11-08_10-30
