,gebiet,status,zeitstempel
0,/sedrun/,failed,2018-11-16_10-28
1,/arosa-lenzerheide/,failed,2018-11-16_10-28
2,/corvatsch-furtschellas/,failed,2018-11-16_10-28
3,/davos-jakobshorn/,failed,2018-11-16_10-28
4,/davos-parsenn/,failed,2018-11-16_10-28
5,/laax/,failed,2018-11-16_10-28
6,/pizmundaun/,failed,2018-11-16_10-28
7,/samnaun/,failed,2018-11-16_10-28
8,/scuol/,failed,2018-11-16_10-28
9,/st-moritz-corviglia/,failed,2018-11-16_10-28
10,/aletsch-arena/,failed,2018-11-16_10-28
11,/anzere/,failed,2018-11-16_10-28
12,/belalp/,failed,2018-11-16_10-28
13,/champery/,failed,2018-11-16_10-28
14,/crans-montana/,failed,2018-11-16_10-28
15,/graechen/,failed,2018-11-16_10-28
16,/grimentz-zinal/,failed,2018-11-16_10-28
17,/morgins/,failed,2018-11-16_10-28
18,/nendaz-4-vallees/,failed,2018-11-16_10-28
19,/portes-du-soleil/,failed,2018-11-16_10-28
20,/saas-fee/,failed,2018-11-16_10-28
21,/funiluc/,failed,2018-11-16_10-28
22,/thyon-4-vallees/,failed,2018-11-16_10-28
23,/valdilliez-lescrosets-champoussin/,failed,2018-11-16_10-28
24,/verbier/,failed,2018-11-16_10-28
25,/vercorin/,failed,2018-11-16_10-28
26,/veysonnaz-4-vallees/,failed,2018-11-16_10-28
27,/zermatt/,failed,2018-11-16_10-28
28,/adelboden/,failed,2018-11-16_10-28
29,/gstaad/,failed,2018-11-16_10-28
30,/gstaad-saanen-rougemont/,failed,2018-11-16_10-28
31,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-16_10-28
32,/jungfrau-grindelwald-wengen/,failed,2018-11-16_10-28
33,/muerren-schilthorn/,failed,2018-11-16_10-28
34,/lenk/,failed,2018-11-16_10-28
35,/meiringen-hasliberg/,failed,2018-11-16_10-28
36,/andermatt-gemsstock-naetschen/,failed,2018-11-16_10-28
37,/engelberg/,failed,2018-11-16_10-28
38,/ybrig/,failed,2018-11-16_10-28
39,/klewenalp/,failed,2018-11-16_10-28
40,/melchsee-frutt/,failed,2018-11-16_10-28
41,/mythenregion/,failed,2018-11-16_10-28
42,/soerenberg/,failed,2018-11-16_10-28
43,/flumserberg/,failed,2018-11-16_10-28
44,/pizol/,failed,2018-11-16_10-28
45,/toggenburg/,failed,2018-11-16_10-28
46,/fribourg-region/,failed,2018-11-16_10-28
47,/les-paccots-chatel-saint-denis/,failed,2018-11-16_10-28
48,/espace-dole-les-tuffes/,failed,2018-11-16_10-28
49,/les-diablerets/,failed,2018-11-16_10-28
50,/diablerets/,failed,2018-11-16_10-28
51,/leysin-mosses-lecherette/,failed,2018-11-16_10-28
52,/vallee-de-joux/,failed,2018-11-16_10-28
53,/villars/,failed,2018-11-16_10-28
