,gebiet,status,zeitstempel
0,/arosa-lenzerheide/,failed,2018-11-16_11-39
1,/pizmundaun/,failed,2018-11-16_11-39
2,/st-moritz-corviglia/,failed,2018-11-16_11-39
3,/aletsch-arena/,failed,2018-11-16_11-39
4,/belalp/,failed,2018-11-16_11-39
5,/crans-montana/,failed,2018-11-16_11-39
6,/morgins/,failed,2018-11-16_11-39
7,/portes-du-soleil/,failed,2018-11-16_11-39
8,/valdilliez-lescrosets-champoussin/,failed,2018-11-16_11-39
9,/verbier/,failed,2018-11-16_11-39
10,/vercorin/,failed,2018-11-16_11-39
11,/adelboden/,failed,2018-11-16_11-39
12,/gstaad/,failed,2018-11-16_11-39
13,/gstaad-saanen-rougemont/,failed,2018-11-16_11-39
14,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-16_11-39
15,/jungfrau-grindelwald-wengen/,failed,2018-11-16_11-39
16,/lenk/,failed,2018-11-16_11-39
17,/meiringen-hasliberg/,failed,2018-11-16_11-39
18,/pizol/,failed,2018-11-16_11-39
19,/fribourg-region/,failed,2018-11-16_11-39
20,/les-paccots-chatel-saint-denis/,failed,2018-11-16_11-39
21,/espace-dole-les-tuffes/,failed,2018-11-16_11-39
22,/les-diablerets/,failed,2018-11-16_11-39
23,/diablerets/,failed,2018-11-16_11-39
24,/villars/,failed,2018-11-16_11-39
