,gebiet,status,zeitstempel
0,/arosa-lenzerheide/,failed,2018-11-16_11-44
1,/pizmundaun/,failed,2018-11-16_11-44
2,/st-moritz-corviglia/,failed,2018-11-16_11-44
3,/aletsch-arena/,failed,2018-11-16_11-44
4,/belalp/,failed,2018-11-16_11-44
5,/crans-montana/,failed,2018-11-16_11-44
6,/morgins/,failed,2018-11-16_11-44
7,/portes-du-soleil/,failed,2018-11-16_11-44
8,/valdilliez-lescrosets-champoussin/,failed,2018-11-16_11-44
9,/verbier/,failed,2018-11-16_11-44
10,/vercorin/,failed,2018-11-16_11-44
11,/adelboden/,failed,2018-11-16_11-44
12,/gstaad/,failed,2018-11-16_11-44
13,/gstaad-saanen-rougemont/,failed,2018-11-16_11-44
14,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-16_11-44
15,/jungfrau-grindelwald-wengen/,failed,2018-11-16_11-44
16,/muerren-schilthorn/,failed,2018-11-16_11-44
17,/lenk/,failed,2018-11-16_11-44
18,/meiringen-hasliberg/,failed,2018-11-16_11-44
19,/pizol/,failed,2018-11-16_11-44
20,/fribourg-region/,failed,2018-11-16_11-44
21,/les-paccots-chatel-saint-denis/,failed,2018-11-16_11-44
22,/espace-dole-les-tuffes/,failed,2018-11-16_11-44
23,/les-diablerets/,failed,2018-11-16_11-44
24,/diablerets/,failed,2018-11-16_11-44
25,/villars/,failed,2018-11-16_11-44
