,gebiet,status,zeitstempel
0,/pizmundaun/,failed,2018-11-05_10-30
1,/aletsch-arena/,failed,2018-11-05_10-30
2,/crans-montana/,failed,2018-11-05_10-30
3,/portes-du-soleil/,failed,2018-11-05_10-30
4,/valdilliez-lescrosets-champoussin/,failed,2018-11-05_10-30
5,/adelboden/,failed,2018-11-05_10-30
6,/gstaad/,failed,2018-11-05_10-30
7,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-05_10-30
8,/jungfrau-grindelwald-wengen/,failed,2018-11-05_10-30
9,/meiringen-hasliberg/,failed,2018-11-05_10-30
10,/fribourg-region/,failed,2018-11-05_10-30
11,/les-paccots-chatel-saint-denis/,failed,2018-11-05_10-30
12,/espace-dole-les-tuffes/,failed,2018-11-05_10-30
13,/les-diablerets/,failed,2018-11-05_10-30
14,/diablerets/,failed,2018-11-05_10-30
15,/vallee-de-joux/,failed,2018-11-05_10-30
16,/villars/,failed,2018-11-05_10-30
